DATE,RAINFALL
12/1/1985,0
1/1/1986,0
2/1/1986,0
3/1/1986,0
4/1/1986,0.1
5/1/1986,1
6/1/1986,777.2
7/1/1986,543.2
8/1/1986,670.9
9/1/1986,65
10/1/1986,15.6
11/1/1986,53.6
12/1/1986,1
1/1/1987,0
2/1/1987,0
3/1/1987,0
4/1/1987,0.6
5/1/1987,9
6/1/1987,612
7/1/1987,832.2
8/1/1987,835.6
9/1/1987,149.3
10/1/1987,166.8
11/1/1987,20.2
12/1/1987,9.3
1/1/1988,0
2/1/1988,0
3/1/1988,0
4/1/1988,4.3
5/1/1988,1.3
6/1/1988,506.1
7/1/1988,1432.1
8/1/1988,664.4
9/1/1988,617.9
10/1/1988,66.9
11/1/1988,0
12/1/1988,0
1/1/1989,0
2/1/1989,0
3/1/1989,0.6
4/1/1989,1
5/1/1989,4
6/1/1989,733.1
7/1/1989,943
8/1/1989,704.9
9/1/1989,300.5
10/1/1989,80.7
11/1/1989,3.6
12/1/1989,0
1/1/1990,0
2/1/1990,0
3/1/1990,0.1
4/1/1990,0
5/1/1990,193.9
6/1/1990,802.1
7/1/1990,873.7
8/1/1990,1164.2
9/1/1990,323.2
10/1/1990,190
11/1/1990,20.8
12/1/1990,0
1/1/1991,0
2/1/1991,0
3/1/1991,0
4/1/1991,6.4
5/1/1991,14.7
6/1/1991,759.2
7/1/1991,1461.4
8/1/1991,598.8
9/1/1991,92.7
10/1/1991,20.3
11/1/1991,0.8
12/1/1991,0.3
1/1/1992,0
2/1/1992,0
3/1/1992,0
4/1/1992,0
5/1/1992,6.2
6/1/1992,493
7/1/1992,822.9
8/1/1992,1093.1
9/1/1992,343.4
10/1/1992,79
11/1/1992,2.8
12/1/1992,0
1/1/1993,0
2/1/1993,0
3/1/1993,0.6
4/1/1993,0.1
5/1/1993,11.4
6/1/1993,587.7
7/1/1993,1394.1
8/1/1993,648.7
9/1/1993,597.2
10/1/1993,227.6
11/1/1993,9.4
12/1/1993,4
1/1/1994,1.3
2/1/1994,0
3/1/1994,0
4/1/1994,12.5
5/1/1994,11.7
6/1/1994,784.8
7/1/1994,1168.5
8/1/1994,654.4
9/1/1994,406.5
10/1/1994,137.9
11/1/1994,2.2
12/1/1994,0
1/1/1995,3.5
2/1/1995,0
3/1/1995,0
4/1/1995,3.3
5/1/1995,15.3
6/1/1995,345.9
7/1/1995,1171.2
8/1/1995,606.5
9/1/1995,419.5
10/1/1995,196.5
11/1/1995,4.4
12/1/1995,0
1/1/1996,0.1
2/1/1996,0
3/1/1996,0
4/1/1996,0.6
5/1/1996,1.4
6/1/1996,535.7
7/1/1996,1232
8/1/1996,594.6
9/1/1996,308.4
10/1/1996,245.9
11/1/1996,1.2
12/1/1996,0.9
1/1/1997,2.6
2/1/1997,0
3/1/1997,0.8
4/1/1997,1.8
5/1/1997,0.2
6/1/1997,757.9
7/1/1997,1072.6
8/1/1997,847.6
9/1/1997,215.2
10/1/1997,21.8
11/1/1997,47.1
12/1/1997,59.6
1/1/1998,0
2/1/1998,0
3/1/1998,0
4/1/1998,0
5/1/1998,9.7
6/1/1998,671.3
7/1/1998,909.1
8/1/1998,758.3
9/1/1998,561.8
10/1/1998,280
11/1/1998,44.3
12/1/1998,0.1
1/1/1999,0
2/1/1999,0
3/1/1999,0
4/1/1999,0
5/1/1999,67.1
6/1/1999,978.7
7/1/1999,1105.1
8/1/1999,283.7
9/1/1999,297.1
10/1/1999,179.7
11/1/1999,0.7
12/1/1999,0
1/1/2000,1.2
2/1/2000,0
3/1/2000,0
4/1/2000,0.9
5/1/2000,190.3
6/1/2000,739.4
7/1/2000,1200.4
8/1/2000,789.5
9/1/2000,111.9
10/1/2000,91.8
11/1/2000,1.6
12/1/2000,6.2
1/1/2001,5.6
2/1/2001,0
3/1/2001,0
4/1/2001,2.8
5/1/2001,59.6
6/1/2001,540.1
7/1/2001,873.4
8/1/2001,611.3
9/1/2001,207.9
10/1/2001,91.6
11/1/2001,3.1
12/1/2001,0
1/1/2002,0
2/1/2002,0
3/1/2002,0.1
4/1/2002,2.8
5/1/2002,9.4
6/1/2002,942
7/1/2002,452.8
8/1/2002,834.5
9/1/2002,217.1
10/1/2002,75.3
11/1/2002,3
12/1/2002,0.3
1/1/2003,0.5
2/1/2003,0.6
3/1/2003,0.8
4/1/2003,1.2
5/1/2003,11.2
6/1/2003,865.3
7/1/2003,1013.9
8/1/2003,593.7
9/1/2003,298.7
10/1/2003,54.4
11/1/2003,1.9
12/1/2003,0
1/1/2004,0
2/1/2004,0
3/1/2004,0
4/1/2004,10.4
5/1/2004,46.9
6/1/2004,678.6
7/1/2004,902.3
8/1/2004,1011.5
9/1/2004,293.3
10/1/2004,32.9
11/1/2004,10.2
12/1/2004,0
1/1/2005,1.3
2/1/2005,0.1
3/1/2005,1.9
4/1/2005,4
5/1/2005,9.8
6/1/2005,730.2
7/1/2005,1340.9
8/1/2005,772.2
9/1/2005,678.8
10/1/2005,76.5
11/1/2005,0
12/1/2005,0.1
1/1/2006,0
2/1/2006,0
3/1/2006,9.9
4/1/2006,0
5/1/2006,211.8
6/1/2006,683.1
7/1/2006,1066.2
8/1/2006,886.4
9/1/2006,399.9
10/1/2006,202.4
11/1/2006,22.5
12/1/2006,0
1/1/2007,0
2/1/2007,0
3/1/2007,0.1
4/1/2007,3.3
5/1/2007,33.4
6/1/2007,939.3
7/1/2007,841.3
8/1/2007,980.2
9/1/2007,609
10/1/2007,45.6
11/1/2007,16
12/1/2007,0.1
1/1/2008,0
2/1/2008,0.1
3/1/2008,31.5
4/1/2008,0.3
5/1/2008,11.1
6/1/2008,798.5
7/1/2008,766.6
8/1/2008,833.1
9/1/2008,551.2
10/1/2008,57.3
11/1/2008,0.9
12/1/2008,2.4
1/1/2009,0
2/1/2009,0
3/1/2009,0.3
4/1/2009,0.1
5/1/2009,5.6
6/1/2009,330.6
7/1/2009,1271.2
8/1/2009,292.9
9/1/2009,387.5
10/1/2009,307.4
11/1/2009,121
12/1/2009,0
1/1/2010,2.7
2/1/2010,0
3/1/2010,0
4/1/2010,1.5
5/1/2010,8.2
6/1/2010,680.8
7/1/2010,1405.3
8/1/2010,850
9/1/2010,531.3
10/1/2010,190.2
11/1/2010,106.7
12/1/2010,1.4
1/1/2011,0
2/1/2011,0
3/1/2011,0
4/1/2011,3.4
5/1/2011,1.1
6/1/2011,857
